LEMMA	SENSE1	SENSE2	POS1	POS2	USAGE_1	USAGE_2	LABEL
exalt	oewn-00862284-v	oewn-01816687-v	81	33	The Red Army Chorus was founded in 1928, to support the morale of the troops and exalt the revolutionary ideal.	Girls are also told stories that exalt these qualities.	metaphor
battle	oewn-00955670-n	oewn-00790634-n	26	29	During the course of this battle four Canadian soldiers were wounded.	I call on him not to let the battle of hierarchies within the directorates-general prevent this from being implemented.	metaphor
war	oewn-00975181-n	oewn-14004888-n	110	4	All of these factors appeared to be closely related to intensified geopolitical tensions and the prospects of war in Iraq.	The war resulted in profound scars in this country's history.	metonymy
croaking	oewn-01066423-v	oewn-00359085-v	63	26	As they coughed and struggled for breath, they surprised me by croaking out my first name in greeting.	He had a heart attack and croaked.	metaphor
fighting	oewn-01092746-v	oewn-02595732-v	29	40	Finally, the deduction worth fighting battle will be epic	Today, the workers in that shipyard are fighting hard to keep this jewel in the crown of our industry going strong.	metaphor
won	oewn-01102556-v	oewn-02293158-v	22	36	And that's how Ithaca won its first national sports championship.	In all these posts he seems to have won general confidence.	metaphor
overcame	oewn-01110559-v	oewn-01813288-v	39	71	Two of Canada's greatest athletes also overcame obstacles and changed attitudes in professional sports.	Downie was consoled by her coach after the floor exercises but quickly overcame her emotions to celebrate.	metaphor
attacked	oewn-01121587-v	oewn-00348264-v	7	2	Hitler attacked Poland on September 1, 1939 and started World War II	I attacked the problem as soon as I got out of bed.	metaphor
defended	oewn-01130221-v	oewn-01093838-v	33	79	Defense reflects your ability to defend yourself and your ability to avoid attacks made by your enemies.	Having struggled to gain their freedom, these countries understand the need to defend it.	metaphor
drank	oewn-01172332-v	oewn-00739010-v	33	4	Otherwise, why should I agree to drink wine which is different to the wine our ancestors always had?	She drank down his words as if they were gospel.	metaphor
healthy	oewn-01173787-a	oewn-01950705-s	61	75	The number of years that Europeans are expected to live in a healthy condition is slowly but steadily increasing.	Through these changes over the past two years, we have managed to strike a healthy balance in the boardroom between our strengths in pharmaceuticals, finance and management.	metaphor
enjoy	oewn-01193481-v	oewn-02115276-v	24	110	"Sit down", he said, "and enjoy your drink and look for your checkbook later."	And there must be many Soviet citizens who know what is going on and who realize that before they can hope to enjoy the full life promised for 1980 they and their children must first survive.	metaphor
devoured	oewn-01199565-v	oewn-01824736-v	7	3	Leo, I devoured your overly sweet fortune cookie.	He devoured new books, particularly about the crimes of French imperialism.	metaphor
stab	oewn-01234216-v	oewn-07510112-n	64	15	Stealthily sneak up and attack your enemies, use them as cover, stab and shoot them.	Each moment, a stab of pure undiluted sensation.	metaphor
shouldered	oewn-01241471-v	oewn-01241618-v	3	54	He shouldered the door open.	Too often, immigration is perceived as a burden to be shouldered rather than an opportunity to be seized.	metaphor
fixation	oewn-01262862-n	oewn-05708366-n	9	7	It has a fixation mechanism that confers it an excelent appearance when installed.	Such a fixation also reveals a cultural subordination to the United States.	metaphor
folded	oewn-01280538-v	oewn-01348559-v	32	65	Instead, the sheets were simply folded and the name and address were inscribed on the outer surface.	His former colleagues would be glad to welcome him back into the fold	metaphor
convoluted	oewn-01283787-v	oewn-00934760-v	45	25	The inner walls of the large intestines have convoluted mucous membranes.	He did not stop at being convoluted with that critique.	metaphor
pet	oewn-01321385-n	oewn-01229164-v	88	32	No matter how outrageous or how horrible the action or the consequence to the animal or pet, that is the sentence standard.	Positive reinforcement: stroke, pet and reward the animal only when it obeys a command or behaves properly; avoid stroking it in other circumstances.	metaphor
engrave	oewn-01324555-v	oewn-01772551-v	62	33	The descendants of my people and some of the others wanted to engrave the story of their people on megaliths and into temples.	A seminar in the helicopter will engrave planing memories.	metaphor
virus	oewn-01331343-n		47	14	It is part of the toolkit needed to defeat the virus.	The insidious virus caused his end, spreading rapidly and overwhelming his immune system despite the medical team's efforts to contain and combat the infectious threat.	metonymy
bacteria	oewn-01351171-n		5	39	This bacteria is resistant to that drug, so we must try another approach.	Despite the doctors' best efforts, the bacteria killed him, highlighting the urgency of developing more effective treatments for such infections.	metonymy
whipped	oewn-01413739-v	oewn-01105408-v	54	17	I still bear scars on my back where Pornsen, my gapt, whipped me because I had not learned my lessons well enough.	The Indian's arm whipped sidewise - there was a flash of amber and froth, the crash of the bottle shattering against the side of the first car.	metaphor
tackle	oewn-01494354-v	oewn-02575545-v	18	35	You don't have to tackle any more horses.	On the other hand, Europe needs to tackle the problems of an ageing population.	metaphor
wrestled	oewn-01507331-v	oewn-00815157-v	23	29	His friend, Earl Gray, wrestled the robber to the ground, chasing him away empty-handed.	The four country studies all wrestled with the concept of research for development.	metaphor
mortal	oewn-01562007-a	oewn-00007846-n	34	12	It will not be necessary to wield mortal weapons, your sword will be thought pure and clean, your shield faith and charity.	All of your mortal struggling is not in vain.	metonymy
destroyed	oewn-01566925-v		45	37	Dozens of tons of waste plutonium have to be destroyed as a result of disarmament negotiations.	Be careful, as the Overgrowth can be destroyed by the opposing team.	metaphor
planted	oewn-01570056-v	oewn-01650771-v	87	140	And one of the best services available to the people who try to raise and can meat, to plant, grow vegetables and put them up.	Yet a moment did come that night when the adventurous letter writer and fantasist seemed to stride off my flashy pages, out of my mind, and plant himself in reality.	metaphor
immersed	oewn-01580466-v	oewn-00602438-v	116	169	Carrier * * f was added and the aqueous and organic phases were separated (cells containing gaseous reactants were immersed in liquid air before opening under sodium iodide).	Miss Sutherland appeared almost as another person in this scene : A much more girlish Lucia, a sensational coloratura who ran across stage while singing, and an actress immersed in her role.	metaphor
pieced	oewn-01593092-v	oewn-01176591-v	3	51	We pieced together the events surrounding the allegations and we reached the following conclusions.	Oh, I’ll fix a big dinner, but we’ll probably just piece around until then.	metaphor
wired	oewn-01601973-v	oewn-02416142-s	38	42	Make sure all the cables are properly wired to avoid any potential hazards.	After a long day at work, I feel mentally wired and find it difficult to relax.	metaphor
demolished	oewn-01660001-v	oewn-01085766-v	68	16	In order to help national governments decide whether to renovate or demolish such buildings.	Some people can demolish a pound of meat in the course of one meal.	metaphor
baked	oewn-01667644-v	oewn-02562716-s	14	59	While this is baking, saute mushrooms, fresh or canned, in butter.	And the valley stretched endlessly out ahead, scorched and baked and writhing in its heat, until it vanished into the throbbing wall of fiery orange brown haze.	metaphor
fiddling	oewn-01737548-v	oewn-02469127-v	61	23	Gadelle embodies the spirit of the Acadian people with their fiddling, their songs, their stories and their dance in every performance.	He spent the whole day fiddling with his phone	metaphor
creating	oewn-01757596-v	oewn-02481808-v	4	8	God created the heaven and the earth.	She was created a lieutenant.	metaphor
constructed	oewn-01761390-v	oewn-01658171-v	35	67	It depends on how the criticism is constructed.	In addition, three bridges, 100 m, 75 m and 15 m in length will be constructed.	metaphor
get_around	oewn-01846830-v	oewn-00938019-v	62	55	A map and a route planner are also available to help tourists get around.	This topic aims to give you some advice on how you can get around this problem.	metaphor
splashed	oewn-01925584-v	oewn-01700344-s	4	7	she splashed up the path	Coffee splashed the carpet.	metaphor
climb	oewn-01927862-v	oewn-00434185-v	5	23	Greg climbed into the cockpit feeling as if he had never been in one before.	Brannon dismounted and climbed the steps.	metaphor
related	oewn-01978302-a	oewn-00715072-v	7	116	We are related through his wife, my aunt Jeanne Mathews.	Some predictions had been made concerning factors R, N, I and Co on these inventories which appeared to be directly related to control and security aspects of personality functioning which were hypothesized as being of importance in differential Kohnstamm reactivity.	metaphor
regurgitate	oewn-02073324-v	oewn-00961210-v	11	69	Houseflies regurgitate digestive juices and defecate where they feed or rest.	What could possibly be democratic about forcing Parliament to simply regurgitate the old agenda?	metaphor
pour	oewn-02073479-v	oewn-02032212-v	21	12	The quantity of fuel poured into the pan shall be sufficient to permit the flame.	People will pour in when they hear about our low rats.	metaphor
crazy	oewn-02082451-s	oewn-00889690-s	30	40	Just don't tell Ferguson that crazy opinion of yours.	Of course he did some exercising - he's crazy about water skiing and swimming and this vigorous exercise in conjunction with the added food supplements packed pounds of solid muscle on his skinny frame.	metaphor
mad	oewn-02082451-s	oewn-02399292-s	2	7	A mad woman received a sound mind?	She is mad about horses.	metaphor
fox	oewn-02120985-n	oewn-10042484-n	73	13	They plan to become county people who know the proper way to terminate a fox's life on earth.	Not this old fox, chuckled Uncle Randolph.	metaphor
bought	oewn-02211988-v	oewn-00685589-v	29	16	They are shipped around, and bought and sold for consumption by people traffickers, sex tourists, porn producers and what are called ordinary men.	I guess someone bought into the idea Morris was really sick.	metaphor
acquired	oewn-02215637-v	oewn-02293158-v	37	12	The transfer of knowledge and skills acquired on the job can be accomplished in a number of ways.	My life has acquired enhanced and expanded spiritual meanings, and when I travel, I always look for the needy that I can help.	metaphor
sold	oewn-02247246-v	oewn-02240448-v	46	27	The second agreement permits the authority to sell a 520 - acre tract west of Stage 1 Residential to Philadelphia Builders Eastwick Corp., a firm composed of 10 Philadelphia area builders, which is interested in developing part of the project.	So Mel Chandler set out to sell him on the spirit of Garryowen, just as he himself had been sold a short time before.	metaphor
ciliate	oewn-02253926-s	oewn-01397895-n	56	67	Whirling through the water like a barrel comes a rotund ciliate which appears to have a long, narrow snout or nose.	Leaf decomposition by bacteria and fungal hyphae, with a protozoan ciliate feeding on the bacteria	metaphor
conserve	oewn-02284977-v	oewn-02688390-v	3	11	To conserve water, fix or replace broken or leaky taps, pipes, and tanks as soon as leaks are found.	The energy conserved when recycling a plastic bottle is ten times greater than the energy saved when incinerating the same plastic bottle.	metaphor
mouse	oewn-02332897-n	oewn-03799022-n	4	35	The mouse was attracked by the smell of cheese.	I have to change the battery of my mouse.	metaphor
pig	oewn-02398058-n	oewn-02621792-v	51	18	Product elaborated with meat and perforated fat of pig.	We'll go back and pig it on Cameo Street, the way we used to.	metaphor
spineless	oewn-02520331-a	oewn-00267851-a	37	73	Molluscs, insects, and worms are all spineless creatures.	Curt wanted to get Jess alone, without interference from anyone, even as spineless a person as the store owner.	metaphor
sick	oewn-02552072-a	oewn-02333753-s	6	29	I was sick, so I went to the doctor.	The last time I saw him, his sick face made me wonder if the life he's been leading is balanced.	metaphor
survived	oewn-02624202-v	oewn-02622766-v	10	34	Those who survived stayed in these camps for the remainder of the war under horrific conditions.	Many businesses are struggling to survive in today's economy.	metaphor
billet	oewn-02659254-v	oewn-00587299-n	18	11	The soldiers were billeted in houses throughout the town.	He found a billet as a typist at the auto factory.	metaphor
hold	oewn-02706727-v	oewn-02738673-v	12	21	The canteen holds fresh water.	The auditorium can't hold more than 500 people.	metonymy
bar	oewn-02792793-n	oewn-08129368-n	37	23	Spectators were not allowed past the bar.	He was admitted to the bar in New Jersey.	metonymy
bench	oewn-02832068-n	oewn-08183086-n	42	68	The lawyer asked if he could approach the bench.	A suspended judge in Oklahoma could be permanently removed from the bench after the investigation.	metonymy
vocal	oewn-02836294-a	oewn-02836472-a	100	35	the anatomical and technical data in mind for an appropriate imaging evaluation of the patient with vocal cord paralysis.	I have been a singer in choirs and vocal groups me as long as I can remember!	metonymy
black_box	oewn-02849971-n		17	11	The absence of a black box on board a vessel should lead to its being laid up in port.	The sealed black box of a proprietary software system is designed to keep people in the dark.	metonymy
bottle	oewn-02879899-n	oewn-13787536-n	33	20	Do not put the hot milk into the bottle.	After drinking some bottles of wine, he could dance.	metonymy
box	oewn-02886585-n	oewn-01487784-v	32	10	I keep my old photos in a large box in the basement.	Could you box your stuff and leave my house?	metonymy
building	oewn-02916498-n	oewn-07989688-n	4	11	The building of a new school will be completed soon.	The entire building went to court against the construction company.	metonymy
bus	oewn-02927500-n		75	5	Currently there are four lanes for cars on the top level and two lanes for buses and four lanes for cars at the lower level.	Many buses stopped, not only because of the traffic, but many in support of the cause.	metonymy
cross	oewn-03140183-n	oewn-14501251-n	46	12	Prior to this complete gift of himself on the cross, Jesus shows how fragility has its place in the transformation of society.	That is his cross to bear.	metaphor
crown	oewn-03143320-n	oewn-06897147-n	36	34	The diamond is currently set in the Crown of Queen Elizabeth.	The colonies revolted against the crown.	metonymy
dish	oewn-03211629-n	oewn-07572999-n	22	23	We gave them a set of dishes for a wedding present.	She prepared a special dish for dinner.	metonymy
drums	oewn-03254272-n	oewn-07398075-n	6	56	Steel drums are percussion instruments originating from Trinidad and Tobago, and are made of steel barrels.	Patafunk starts with electronic beats and adds acoustic drums.	metonymy
foundation	oewn-03391862-n	oewn-08423443-n	141	112	It is a weakness of Gabriel's analysis that he never seems to realize that his so-called fundamental law had already been cut loose from its foundations when it was adapted to democracy.	The gruesome humor of the Nazis was not forgotten - the gas chamber with a sign on it with the name of a Jewish foundation and bearing a copper Star of David - nor the gratuitous sadism of SS officers.	metaphor
gallery	oewn-03416968-n		16	5	In other cases, gallery owners managed to get access to works from artists' own private collections.	This gallery is impressive; many new talents are gathered here.	metonymy
garage	oewn-03421399-n	oewn-03421550-n	26	20	He put all boxes into the garage.	When she called the garage, they were closed.	metonymy
gauntlet	oewn-03434681-n	oewn-07246935-n	0	16	Gauntlet gloves, safety shoes and hat.	But that is the gauntlet that has been thrown down to the European Parliament, which must succeed in transcending these differences.	metaphor
grave	oewn-03459977-n	oewn-15168686-n	31	15	He put flowers on his mother's grave.	He went to his grave without forgiving me.	metonymy
market	oewn-03466317-n	oewn-08089673-n	34	4	The grocery store included a meat market.	The market is expecting a strong earnings report from the company.	metonymy
gun	oewn-03472916-n	oewn-00124250-n	17	31	As a responsible gun owner, you must follow the rules for using and storing your firearms.	Two runners started before the gun and were disclassified.	metonymy
hammer	oewn-03486255-n	oewn-01419193-v	14	68	Thanks to new hammer technology, you can cordlessly drill through wood, hard stone and other materials.	When the grain passes the sample again a smaller or bigger piece is hammered out, according to the shape of the grain.	metonymy
hat	oewn-03502782-n	oewn-00722393-n	18	29	No other style of hat was acceptable with evening dress.	He took off his politician's hat and talked frankly.	metaphor
kettle	oewn-03618023-n	oewn-13790294-n	10	20	The Bosch kettle is a delight for all tea lovers.	Can you prepare one kettle of coffee?	metonymy
key	oewn-03618503-n	oewn-05802065-n	13	16	She used the key to unlock her front door after a long day of work.	Patience is the key to getting through difficult situations.	metaphor
kitchen	oewn-03625099-n		7	28	In the kitchen, Mr Fatuzzo was preparing the meal: spaghetti with garlic, olive oil and chilli.	This country has an amazing kitchen, can't wait to come back.	metonymy
laboratory	oewn-03635277-n	oewn-08680308-n	13	20	Clinical and laboratory investigations for other less frequent causes of the disease were also negative.	The new nation is a laboratory for socioeconomic theories.	metonymy
nail	oewn-03810284-n	oewn-01360534-v	62	8	the Company believes that it is currently the world's largest nail manufacturer	Please, nail the board to the wall.	metonymy
office	oewn-03847186-n	oewn-13968154-n	42	9	That man has since been locked out of his office and hounded out of his job for telling the truth.	Being in office already gives a candidate a great advantage.	metonymy
pen	oewn-03913116-n	oewn-01702148-v	19	13	You should bring a pen, paper and money for your lunch.	If you don't pen down your ideas, you might lose them.	metonymy
pentagon	oewn-03918615-n		4	39	The Pentagon is located in Virginia.	It has now reached the point where the Pentagon has prohibited American forces from returning to northern Mitrovica.	metonymy
piece	oewn-03938441-n	oewn-03938737-n	31	14	The video becomes an important piece of evidence for the case.	She brought a piece of Brazil in her heart.	metaphor
press	oewn-04006669-n	oewn-06274022-n	55	76	Will be completed with a brand new Mitsubishi printing-press machines: a 2 colour press machine plus lacquer and UV lacquer.	I am dying of hunger while guys go on and on for hours about freedom of the press.	metonymy
room	oewn-04112987-n	oewn-14509020-n	16	35	We have a small room and a kitchen.	The analysis of the service leaves room for improvement.	metonymy
sax	oewn-04148141-n		4	4	The sax is inside of the box.	The sax got is sick and will not come today.	metonymy
screen	oewn-04159912-n	oewn-02144356-v	21	3	I have to repair the screen of my laptop.	To screen a film to the public, you need permission from the film's copyright owner.	metonymy
stage	oewn-04303700-n	oewn-08664141-n	25	36	He clambered up onto the stage and got the actors to help him into the box.	The experimented negotiator set the stage for peaceful negotiations.	metonymy
suits	oewn-04357983-n	oewn-10693385-n	28	41	They buried him in his best suit at the ceremony.	During the financial sector meeting, the suits seemed more concerned with their own profits than the overall well-being of the industry.	metonymy
sword	oewn-04380981-n		35	94	As a result, she was struck by the sword of the Holy Spirit and became doomed both in the flesh and the spirit.	In the medieval epic, the king's proclamation was backed by the swift justice of his gleaming sword.	metonymy
table	oewn-04386330-n	oewn-08497146-n	30	25	I put my glass on the kitchen table.	He entertained the whole table with his witty remarks.	metonymy
tape	oewn-04398656-n	oewn-04398925-n	0	52	Tapes are commonly used to wrap presents.	Disk drives are reaching their limits, but magnetic tape just gets better and better.	metonymy
tool	oewn-04459089-n	oewn-00174610-n	38	25	The software is a simple and powerful tool to convert your photos.	Science has given us new tools to fight disease.	metonymy
wheel	oewn-04582285-n	oewn-05203188-n	15	4	They put a new wheel in the car	The wheels of government began to turn.	metonymy
windows	oewn-04594951-n	oewn-04596042-n	67	68	If you have a house with no doors, people will come in through the windows.	On today's multitasking operating systems, you can have a number of windows on your screen at the same time, interacting with each whenever you choose.	metaphor
age	oewn-04931280-n	oewn-15278839-n	12	21	The minimum age to drive here is eighteen.	We are coming to the age of science.	metonymy
pitch	oewn-04992447-n		90	31	The vibration frequency is controlled by the singer in order to produce the required note pitch.	I don't think I can reach this pitch.	metonymy
cold	oewn-05022301-n		4	48	The cold winter air chilled them to the bone as they walked home.	After their argument, their relationship turned cold and distant.	metaphor
body	oewn-05223633-n	oewn-05225115-n	24	9	He felt as if his whole body were on fire.	Multiple bodies were found in an abandoned Highland Park apartment building Thursday, according to Michigan State Police.	metonymy
tongue	oewn-05308571-n	oewn-06916947-n	36	122	These resins are moistened with the tongue, forming small balls with the mandibles.	Studies reveals that there is a greater chance to make a purchase if the site addresses potential clients in their mother tongue.	metonymy
mouth	oewn-05309998-n	oewn-01042579-v	42	4	The dentist asked the patient to open his mouth.	She mouthed a swear word.	metonymy
ear	oewn-05328447-n	oewn-05665844-n	28	26	This treatment will let the ear develop enough to help prevent complications after the surgery.	the development of a good ear, of musical and rhythmic sensitivity and the ability to create	metonymy
heart	oewn-05396148-n	oewn-05927857-n	13	24	Using target heart rate zones to train will ensure you are training at the most effective level.	It is time that we take heart, show the necessary political will and take the necessary measures that will allow us to consolidate	metonymy
blood	oewn-05407190-n	oewn-07960894-n	0	23	blood carries oxygen and nutrients to the tissues and carries away waste products.	I can see a lot of new blood here today.	metonymy
sweat	oewn-05413094-n	oewn-00622867-n	55	19	These heavenly garments of fine linen are not wet with sweat.	It took the blood, sweat and tears of public representatives, athletes, business groups, farmers and trade unionists to secure a historic yes' vote.	metonymy
brain	oewn-05488747-n	oewn-05625839-n	94	19	A faint is a brief loss of consciousness caused by a temporary reduction of blood flow to the brain.	He's got plenty of brains but no common sense.	metonymy
head	oewn-05546258-n	oewn-13675998-n	11	10	We bow our head before all who made a sacrifice for peace.	He is two heads taller than his little sister	metonymy
leg	oewn-05568420-n	oewn-00308002-n	93	17	My disability is more visible from the knee down and it has affected the muscles in the left leg.	This is the last leg of the journey to Cusco.	metonymy
hand	oewn-05572223-n	oewn-07973501-n	18	42	All children join hands and form a circle.	During the game, he kept trying to see my hand.	metonymy
nose	oewn-05605902-n	oewn-06819914-n	28	10	When I put the liquid to my nose, it smelled like gasoline.	Keep your nose out of my business.	metonymy
sour	oewn-05724691-n	oewn-01140878-s	20	16	The milk had turned sour, curdling and becoming unfit to drink.	The mood turned sour when the topic of politics was brought up.	metaphor
feeling	oewn-05730374-n	oewn-05925333-n	39	8	The surface of this table had a greasy feeling.	I had a feeling that she was lying.	metonymy
editorial	oewn-06279220-n	oewn-02728138-a	5	4	This editorial offers a valuable lived-in perspective on the desk rejection process through the lens of the Editor.	The editorial decided to remove the article, given the controversies.	metonymy
journal	oewn-06413674-n	oewn-06609819-n	85	109	The German naturalist and poet Adelbert von Chamisso wrote these words in his travel journal in December 1815, but they still ring true today for many travelers to Brazil.	Reprints from articles about your company demonstrate your positive reputation within an international trade journal.	metonymy
book	oewn-06422547-n	oewn-02503969-v	4	24	The book I am writing is moving right along with my new pike of creativity.	We recommend you not to book your flight until the course has been confirmed.	metonymy
question_mark	oewn-06857090-n		42	11	In these sentences where should I put the question mark?	He's a big question mark to me	metonymy
dance	oewn-07033652-n	oewn-07463317-n	52	9	Once per month we will be hosting a full weekend of dance in Luxembourg.	He is in dance since 9 years old.	metonymy
voice	oewn-07125323-n	oewn-00180532-n	18	21	I can't hear your voice, is too noisy here.	The Times is not the voice of New York.	metaphor
pink_slip	oewn-07227739-n		88	25	After the employee's repeated violations of company policies, the manager handed them a pink slip.	So after I was given the pink slip, I decided that a small gourmet shop specializing in pasta seemed the right thing for me to try.	metonymy
target	oewn-07276776-n	oewn-05990115-n	105	58	Individuals can only possess restricted firearms and prohibited handguns for legitimate purposes such as target shooting or collecting.	Significantly, this coalition will set a renewable energy target representing a floor as opposed to a ceiling.	metaphor
fire	oewn-07317454-n	oewn-07496515-n	38	20	They warmed their hands over the open fire, flames flickering into the night.	His criticism set a fire within her to prove him wrong and succeed.	metaphor
ruin	oewn-07349843-n	oewn-14585916-n	16	42	The city lay in ruins, untouched for years, a haunting testament to the destructive power of the explosion.	The mismanagement of the business brought ruin to the entire family.	metaphor
bark	oewn-07391221-n	oewn-01049468-v	10	18	The dog's bark could be heard throughout the neighborhood, alerting everyone to the intruder.	Despite his harsh bark, he was a compassionate person at heart.	metaphor
current	oewn-07421365-n		41	4	The swimmer struggled against the strong current to reach the shore.	The current trend in fashion leans towards more sustainable and ethical practices.	metaphor
twinkle	oewn-07426245-n	oewn-04960557-n	10	42	The stars twinkle in the sky.	Just mentioning the name Porsche brings a twinkle in the eye of men and women of all ages.	metaphor
chicken	oewn-07660576-n	oewn-07472727-n	22	16	Marinated and grilled chicken breast pieces.	Looks like that chicken was gettin' the best of you, he said, smiling.	metaphor
clings	oewn-07754200-n	oewn-01779986-v	19	17	Chemical soy sauce clings to the end of the chopstick as a thick, dark-coloured droplet.	This declaration clings to that goal and therefore it is flawed.	metaphor
apple	oewn-07755101-n		27	25	She enjoyed eating a fresh apple as a healthy afternoon snack.	As a teacher, he was the apple of his students' eyes.	metaphor
industry	oewn-08082070-n	oewn-00925258-n	12	29	The farming industry sustains almost half of the population.	New technologies can set new industry standards.	metonymy
senate	oewn-08178376-n	oewn-08178490-n	74	4	The party of the president often loses seats in midterm elections for the Senate.	The Senate gave final approval to a temporary government funding package.	metonymy
assembly	oewn-08180691-n	oewn-00913832-n	4	39	The assembly of directors, considering the unique circumstances of the pandemic, approved the implementation of home-office work arrangements.	The engines come from Germany, but the assembly of the airplaine is done in France.	metonymy
army	oewn-08208160-n	oewn-08411879-n	90	4	In 1955, few people would have imagined that the Federal Republic would build the largest army on the European continent.	The army of today is very different from than the one I joined in 1967, which is not necessarily a bad thing.	metonymy
orchestra	oewn-08265078-n		13	4	Normally, an orchestra would not use anything like a metronome when they perform.	The orchestra decided to keep the day of the presentation.	metonymy
school	oewn-08293641-n	oewn-05765533-n	4	46	The school was founded in 1900.	I will start to work only after finishing the school.	metonymy
academy	oewn-08296219-n	oewn-08297045-n	23	25	The program within the academy has also included two foreign language courses.	It was recognized by the academy, as an effective cure for this kind of viral infection.	metonymy
battlefield	oewn-08523662-n		37	72	Get powerful weapons to excel on the battlefield!	Faced with a widespread insurgency, the government has responded with a battlefield strategy to counteract the activities of Maoist guerrillas.	metonymy
home	oewn-08577045-n	oewn-08602685-n	18	33	He doesn't have a home to go to.	Any successful businessman in my home country is a target	metonymy
end_point	oewn-08584083-n	oewn-13964370-n	53	13	My problem now is that I'd like to see the start and end point of thes road.	Introduce an end point in the life-cycle of animal by-products	metonymy
antipodes	oewn-08649325-n		38	11	the North Pole and the South Pole are antipodes.	She is the antipodes of the Creole that I had married.	metonymy
china	oewn-08740839-n		45	0	I was born in Italy, but I currently live in China.	China is ready to work with all parties to improve the international legal regime for outer space, with the aim of safeguarding outer space security.	metonymy
